type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.008,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0475,0.0926
100,0.0466,0.1066
150,0.0468,0.1134
200,0.0462,0.123
250,0.0462,0.1186
300,0.046,0.1224
350,0.0455,0.1198
400,0.0457,0.1294
450,0.0449,0.1586
500,0.0445,0.193
550,0.0431,0.2486
600,0.0413,0.339
50,0.0399,0.3608
100,0.0381,0.3986
150,0.0365,0.4316
200,0.0353,0.4762
250,0.034,0.5246
300,0.033,0.5498
350,0.0319,0.602
400,0.031,0.606
450,0.0301,0.6304
500,0.029,0.6468
550,0.0281,0.6648
600,0.0276,0.6928
50,0.0272,0.7002
100,0.0256,0.7276
150,0.0254,0.728
200,0.025,0.7458
250,0.0242,0.7314
300,0.0234,0.7452
350,0.023,0.7556
400,0.0229,0.753
450,0.0223,0.7514
500,0.0218,0.7694
550,0.0214,0.7668
600,0.0208,0.7746
50,0.0201,0.7762
100,0.0198,0.7762
150,0.0198,0.779
200,0.0195,0.7876
250,0.0192,0.7794
300,0.0187,0.8026
350,0.0186,0.799
400,0.0183,0.8184
450,0.0177,0.8204
500,0.0171,0.84
550,0.0169,0.8452
600,0.0164,0.8532
50,0.0161,0.8568
100,0.0156,0.8666
150,0.0153,0.88
200,0.0152,0.8704
250,0.0146,0.8776
300,0.0144,0.8826
350,0.014,0.8906
400,0.0137,0.8932
450,0.0132,0.897
500,0.0132,0.8924
550,0.0127,0.8956
600,0.0121,0.9026
50,0.0122,0.904
100,0.0119,0.9028
150,0.0121,0.9014
200,0.012,0.9038
250,0.0116,0.9006
300,0.0119,0.8992
350,0.0112,0.9056
400,0.0111,0.9094
450,0.011,0.9082
500,0.0105,0.9124
550,0.0109,0.9042
600,0.0109,0.91
50,0.0106,0.913
100,0.0106,0.9106
150,0.0106,0.907
200,0.0104,0.9108
250,0.0101,0.9188
300,0.0101,0.9162
350,0.0104,0.9118
400,0.01,0.9118
450,0.0097,0.9194
500,0.0097,0.919
550,0.0096,0.9264
600,0.0098,0.9156
50,0.0097,0.9226
100,0.0099,0.9134
150,0.0097,0.9216
200,0.0097,0.9186
250,0.0093,0.924
300,0.009,0.93
350,0.0093,0.9252
400,0.0093,0.921
450,0.0089,0.9274
500,0.0089,0.9278
550,0.0088,0.9304
600,0.0091,0.924
50,0.009,0.9282
100,0.0087,0.9302
150,0.0089,0.9306
200,0.0087,0.9276
250,0.0083,0.9372
300,0.0087,0.9298
350,0.0085,0.9344
400,0.0083,0.932
450,0.0084,0.935
500,0.0086,0.9342
550,0.0087,0.9298
600,0.0085,0.933
50,0.0081,0.9382
100,0.0083,0.9324
150,0.008,0.9406
200,0.0085,0.9304
250,0.0083,0.9328
300,0.0082,0.9368
350,0.0082,0.9376
400,0.0079,0.9414
450,0.0078,0.9382
500,0.0077,0.9402
550,0.0081,0.939
600,0.0079,0.9428
50,0.008,0.939
100,0.0077,0.9438
150,0.0078,0.9448
200,0.0077,0.9404
250,0.008,0.9404
300,0.0078,0.9388
350,0.0076,0.9434
400,0.0076,0.9436
450,0.0075,0.9466
500,0.0074,0.9456
550,0.0074,0.9406
600,0.0075,0.9416
50,0.0075,0.9428
100,0.0073,0.947
150,0.0072,0.949
200,0.0074,0.9436
250,0.0077,0.942
300,0.0073,0.947
350,0.0069,0.9516
400,0.0071,0.9478
450,0.0073,0.9468
500,0.0072,0.9464
550,0.0073,0.9484
600,0.0071,0.9462
50,0.007,0.9484
100,0.0072,0.9488
150,0.0071,0.9514
200,0.007,0.9498
250,0.0067,0.9544
300,0.0068,0.95
350,0.0072,0.948
400,0.0068,0.9532
450,0.007,0.9522
500,0.0067,0.9542
550,0.0066,0.9514
600,0.0069,0.9498
50,0.0067,0.9546
100,0.0067,0.953
150,0.0068,0.9532
200,0.0068,0.9534
250,0.0066,0.9514
300,0.0064,0.9564
350,0.0066,0.9544
400,0.0069,0.95
450,0.0063,0.959
500,0.0067,0.9512
550,0.0065,0.9546
600,0.0064,0.9574
50,0.0064,0.9564
100,0.0065,0.9532
150,0.0063,0.9566
200,0.0064,0.955
250,0.0066,0.954
300,0.0064,0.9544
350,0.0061,0.9612
400,0.0064,0.9552
450,0.0063,0.9578
500,0.0066,0.9532
550,0.0065,0.9568
600,0.0063,0.9596
50,0.0063,0.9564
100,0.006,0.9604
150,0.006,0.9632
200,0.0062,0.9598
250,0.0063,0.956
300,0.0062,0.9584
350,0.0062,0.9576
400,0.0064,0.9558
450,0.006,0.9602
500,0.0061,0.9596
550,0.0061,0.9602
600,0.0059,0.9624
50,0.0061,0.963
100,0.0057,0.9594
150,0.0059,0.9614
200,0.0063,0.9582
250,0.0062,0.9586
300,0.0058,0.9618
350,0.0059,0.958
400,0.0057,0.9632
450,0.0058,0.9622
500,0.0057,0.9664
550,0.0059,0.9624
600,0.006,0.9602
50,0.0058,0.9622
100,0.0057,0.9658
150,0.0055,0.9656
200,0.0055,0.9678
250,0.0057,0.9656
300,0.0057,0.9626
350,0.0057,0.9664
400,0.0058,0.963
450,0.0056,0.9636
500,0.0058,0.963
550,0.0058,0.9598
600,0.0059,0.959
50,0.0057,0.9626
100,0.006,0.96
150,0.0057,0.9642
200,0.0059,0.9626
250,0.0056,0.9664
300,0.0054,0.9656
350,0.0055,0.9672
400,0.0057,0.9618
450,0.0052,0.9704
500,0.0053,0.97
550,0.0057,0.962
600,0.0053,0.9712
50,0.0052,0.9702
100,0.0055,0.9646
150,0.0054,0.9662
200,0.0053,0.9674
250,0.0057,0.9624
300,0.0054,0.9654
350,0.0056,0.9656
400,0.0052,0.9696
450,0.0055,0.9682
500,0.0053,0.9676
550,0.0054,0.9668
600,0.0055,0.967
50,0.0056,0.9612
100,0.0057,0.9584
150,0.0051,0.9674
200,0.0053,0.9656
250,0.0052,0.9692
300,0.0052,0.9728
350,0.0053,0.971
400,0.0051,0.9692
450,0.0051,0.9712
500,0.0051,0.9692
550,0.0052,0.9682
600,0.0051,0.9698
50,0.005,0.968
100,0.0053,0.9678
150,0.0052,0.9708
200,0.0053,0.9676
250,0.005,0.9724
300,0.0054,0.9648
350,0.0052,0.9694
400,0.005,0.9712
450,0.005,0.9704
500,0.005,0.9706
550,0.005,0.9716
600,0.005,0.9696
50,0.0051,0.9712
100,0.0052,0.9708
150,0.0047,0.9722
200,0.0051,0.968
250,0.005,0.9712
300,0.0051,0.969
350,0.005,0.9706
400,0.0051,0.9676
450,0.005,0.9704
500,0.005,0.9706
550,0.0049,0.97
600,0.0049,0.97
50,0.0049,0.9702
100,0.0047,0.9744
150,0.0049,0.9704
200,0.005,0.9714
250,0.0049,0.9694
300,0.0047,0.9728
350,0.005,0.9722
400,0.005,0.9706
450,0.0048,0.9728
500,0.0047,0.9696
550,0.0049,0.9682
600,0.005,0.9696
50,0.0047,0.975
100,0.0048,0.9692
150,0.0048,0.972
200,0.0048,0.9732
250,0.0047,0.9712
300,0.0047,0.9726
350,0.0048,0.9728
400,0.0048,0.9726
450,0.0048,0.9724
500,0.0046,0.9728
550,0.0049,0.9702
600,0.0048,0.9722
50,0.0045,0.976
100,0.0046,0.9766
150,0.0047,0.9706
200,0.0046,0.9718
250,0.0047,0.9722
300,0.0045,0.9732
350,0.0047,0.9706
400,0.0046,0.975
450,0.0047,0.9738
500,0.0048,0.9702
550,0.0048,0.9724
600,0.0047,0.9742
50,0.0046,0.973
100,0.0042,0.9772
150,0.0046,0.9738
200,0.0046,0.9742
250,0.0045,0.9764
300,0.0045,0.9732
350,0.0046,0.974
400,0.0045,0.9736
450,0.0046,0.9734
500,0.0047,0.9696
550,0.0046,0.9744
600,0.0047,0.9706
50,0.0044,0.9754
100,0.0046,0.9728
150,0.0046,0.9718
200,0.0047,0.9702
250,0.0043,0.9746
300,0.0045,0.9724
350,0.0044,0.975
400,0.0045,0.975
450,0.0042,0.9804
500,0.0045,0.9746
550,0.0044,0.9754
600,0.0045,0.9762
50,0.0041,0.979
100,0.0045,0.9766
150,0.0043,0.9764
200,0.0044,0.975
250,0.0042,0.9744
300,0.0044,0.9758
350,0.0044,0.9758
400,0.0045,0.9734
450,0.0044,0.9742
500,0.0042,0.9786
550,0.0045,0.972
600,0.0045,0.972
50,0.0045,0.9758
100,0.0043,0.9746
150,0.0043,0.9766
200,0.0043,0.9772
250,0.0044,0.977
300,0.0043,0.9748
350,0.0041,0.9782
400,0.0043,0.9802
450,0.004,0.978
500,0.0046,0.9714
550,0.0044,0.9766
600,0.0043,0.975
50,0.0044,0.9756
100,0.0041,0.9772
150,0.004,0.9796
200,0.0043,0.977
250,0.0043,0.9764
300,0.0042,0.9764
350,0.0043,0.9762
400,0.0046,0.9724
450,0.0042,0.977
500,0.0042,0.9786
550,0.0043,0.9774
600,0.0043,0.975
50,0.0041,0.9796
100,0.0041,0.9782
150,0.0043,0.9742
200,0.0043,0.9756
250,0.0042,0.9802
300,0.0041,0.9794
350,0.004,0.976
400,0.0044,0.9746
450,0.0042,0.9762
500,0.0041,0.977
550,0.004,0.9796
600,0.0043,0.9764
50,0.0042,0.9744
100,0.004,0.9784
150,0.0041,0.9774
200,0.0044,0.973
250,0.0041,0.9782
300,0.0041,0.9798
350,0.004,0.9798
400,0.0044,0.9756
450,0.0041,0.9774
500,0.004,0.9782
550,0.004,0.9806
600,0.0041,0.9788
50,0.0041,0.9786
100,0.0038,0.9798
150,0.0041,0.977
200,0.004,0.9816
250,0.0041,0.9774
300,0.0039,0.9814
350,0.004,0.9768
400,0.0042,0.9764
450,0.004,0.9796
500,0.0039,0.981
550,0.0043,0.9718
600,0.004,0.977
50,0.0039,0.9814
100,0.0038,0.981
150,0.0039,0.9798
200,0.0039,0.9794
250,0.0038,0.9818
300,0.004,0.9786
350,0.0041,0.978
400,0.0041,0.9796
450,0.004,0.9806
500,0.0043,0.9746
550,0.0041,0.9752
600,0.0041,0.9772
50,0.0037,0.9806
100,0.0039,0.9804
150,0.0038,0.9796
200,0.0039,0.9808
250,0.0039,0.98
300,0.0041,0.9774
350,0.0041,0.9754
400,0.0039,0.9792
450,0.0038,0.9818
500,0.0039,0.9798
550,0.004,0.9756
600,0.0039,0.9802
50,0.0037,0.9816
100,0.0037,0.982
150,0.0038,0.9802
200,0.0038,0.9806
250,0.0038,0.9818
300,0.004,0.9802
350,0.0038,0.977
400,0.0039,0.979
450,0.004,0.9782
500,0.0038,0.979
550,0.0041,0.9788
600,0.0039,0.9798
50,0.0038,0.981
100,0.0038,0.98
150,0.0039,0.9792
200,0.0038,0.9794
250,0.0038,0.9816
300,0.0038,0.9796
350,0.0038,0.9782
400,0.0037,0.9816
450,0.0038,0.9806
500,0.0038,0.9784
550,0.0037,0.983
600,0.0038,0.9796
50,0.0038,0.978
100,0.0037,0.9806
150,0.0039,0.9822
200,0.0036,0.984
250,0.0037,0.983
300,0.0038,0.9788
350,0.0038,0.9818
400,0.0039,0.9808
450,0.0038,0.9802
500,0.0037,0.9838
550,0.0038,0.977
600,0.0036,0.9796
50,0.004,0.9788
100,0.0036,0.9814
150,0.0038,0.9784
200,0.0037,0.9808
250,0.0036,0.9814
300,0.0038,0.9808
350,0.0038,0.9798
400,0.0035,0.9838
450,0.0037,0.9828
500,0.0035,0.9856
550,0.0037,0.98
600,0.0038,0.9794
50,0.0036,0.9826
100,0.0036,0.983
150,0.0037,0.9792
200,0.0036,0.9824
250,0.0037,0.9824
300,0.0038,0.9812
350,0.0036,0.9808
400,0.0037,0.9828
450,0.0037,0.9792
500,0.0036,0.9818
550,0.0037,0.9796
600,0.0038,0.9804
50,0.0038,0.9794
100,0.0037,0.9802
150,0.0034,0.9838
200,0.0035,0.9838
250,0.0036,0.9804
300,0.0037,0.9818
350,0.0036,0.9804
400,0.0036,0.9822
450,0.0036,0.9812
500,0.0035,0.9842
550,0.0035,0.9844
600,0.0037,0.9808
50,0.0037,0.9786
100,0.0035,0.984
150,0.0034,0.9842
200,0.0035,0.9826
250,0.0035,0.9848
300,0.0036,0.983
350,0.0036,0.9796
400,0.0036,0.9806
450,0.0036,0.9822
500,0.0035,0.9838
550,0.0037,0.9802
600,0.0036,0.983
50,0.0035,0.9814
100,0.0035,0.9836
150,0.0034,0.9818
200,0.0036,0.9822
250,0.0036,0.9828
300,0.0037,0.9814
350,0.0034,0.9866
400,0.0036,0.9816
450,0.0036,0.9832
500,0.0037,0.978
550,0.0034,0.9838
600,0.0034,0.9832
50,0.0036,0.983
100,0.0033,0.984
150,0.0036,0.9838
200,0.0036,0.9816
250,0.0035,0.9832
300,0.0033,0.9852
350,0.0036,0.9846
400,0.0034,0.9842
450,0.0034,0.9814
500,0.0035,0.9822
550,0.0036,0.9804
600,0.0036,0.9814
50,0.0035,0.9818
100,0.0032,0.9862
150,0.0034,0.9834
200,0.0034,0.984
250,0.0035,0.9818
300,0.0032,0.9842
350,0.0033,0.9862
400,0.0034,0.984
450,0.0036,0.9822
500,0.0036,0.9826
550,0.0037,0.9816
600,0.0035,0.9828
50,0.0034,0.9832
100,0.0034,0.9846
150,0.0035,0.9826
200,0.0033,0.9838
250,0.0035,0.9836
300,0.0032,0.9856
350,0.0035,0.9816
400,0.0032,0.9862
450,0.0034,0.9848
500,0.0033,0.9834
550,0.0034,0.9816
600,0.0037,0.9804
50,0.0032,0.9856
100,0.0035,0.9838
150,0.0032,0.983
200,0.0035,0.9834
250,0.0034,0.983
300,0.0033,0.9852
350,0.0034,0.9838
400,0.0035,0.9828
450,0.0033,0.9854
500,0.0034,0.9844
550,0.0033,0.9846
600,0.0035,0.98
50,0.0034,0.9828
100,0.0034,0.9836
150,0.0031,0.9876
200,0.0034,0.983
250,0.0035,0.9808
300,0.0035,0.9816
350,0.0034,0.9846
400,0.0032,0.9876
450,0.0033,0.984
500,0.0032,0.9856
550,0.0033,0.9842
600,0.0033,0.9844
50,0.0033,0.9868
100,0.0032,0.9846
150,0.0033,0.984
200,0.0033,0.9862
250,0.0034,0.9828
300,0.0034,0.9812
350,0.0033,0.9854
400,0.0034,0.9838
450,0.0033,0.9824
500,0.0035,0.9824
550,0.0031,0.9868
600,0.0033,0.984
50,0.0034,0.9842
100,0.0033,0.9838
150,0.0033,0.9858
200,0.0032,0.9866
250,0.0034,0.9822
300,0.0032,0.9868
350,0.0035,0.9802
400,0.0032,0.9854
450,0.0033,0.9844
500,0.0033,0.9826
550,0.0031,0.986
600,0.0032,0.9844
50,0.0031,0.989
100,0.0033,0.981
150,0.0033,0.9822
200,0.0032,0.986
250,0.0032,0.9816
300,0.0031,0.9886
350,0.0031,0.9854
400,0.0034,0.9826
450,0.0034,0.985
500,0.0032,0.9878
550,0.0032,0.984
600,0.0033,0.9842
50,0.0033,0.9848
100,0.003,0.9884
150,0.0032,0.9848
200,0.0033,0.9824
250,0.0033,0.985
300,0.0033,0.9858
350,0.003,0.9888
400,0.0032,0.9846
450,0.0032,0.9838
500,0.0031,0.9868
550,0.0033,0.983
600,0.0033,0.9836
50,0.0031,0.9868
100,0.0032,0.9836
150,0.0033,0.9834
200,0.0031,0.9856
250,0.0031,0.9856
300,0.0032,0.9836
350,0.003,0.9884
400,0.0033,0.9838
450,0.0032,0.9844
500,0.0033,0.9842
550,0.0032,0.985
600,0.0031,0.9866
50,0.003,0.9888
100,0.0032,0.9848
150,0.0032,0.9844
200,0.003,0.9852
250,0.0034,0.9828
300,0.003,0.9884
350,0.0031,0.986
400,0.003,0.989
450,0.0033,0.9836
500,0.0032,0.9866
550,0.003,0.9876
600,0.0032,0.9818
50,0.003,0.9896
100,0.0033,0.9842
150,0.0031,0.9842
200,0.0029,0.9888
250,0.0033,0.9818
300,0.0031,0.9846
350,0.003,0.9876
400,0.003,0.9874
450,0.0033,0.9854
500,0.0031,0.9844
550,0.003,0.9852
600,0.0033,0.9842
50,0.0031,0.9844
100,0.003,0.9864
150,0.0031,0.9854
200,0.0032,0.9868
250,0.0031,0.9864
300,0.0029,0.989
350,0.003,0.986
400,0.0033,0.9842
450,0.0031,0.9848
500,0.0031,0.987
550,0.0031,0.9842
600,0.0031,0.9864
50,0.0029,0.9858
100,0.003,0.986
150,0.0029,0.9874
200,0.0031,0.9844
250,0.0031,0.9864
300,0.003,0.9854
350,0.0031,0.9852
400,0.003,0.9892
450,0.0031,0.9844
500,0.0032,0.9838
550,0.0032,0.9872
600,0.0031,0.989
50,0.003,0.9854
100,0.0031,0.9874
150,0.0031,0.9876
200,0.0028,0.9892
250,0.0031,0.9854
300,0.0028,0.9872
350,0.0031,0.9846
400,0.0031,0.9834
450,0.0032,0.986
500,0.0031,0.9854
550,0.0031,0.9874
600,0.0031,0.985
50,0.0029,0.9868
100,0.003,0.9886
150,0.0031,0.985
200,0.003,0.9866
250,0.0031,0.987
300,0.0029,0.987
350,0.0031,0.987
400,0.003,0.9842
450,0.0031,0.9862
500,0.0031,0.9852
550,0.003,0.9872
600,0.0031,0.9862
50,0.0031,0.985
100,0.0028,0.9888
150,0.003,0.9882
200,0.003,0.9866
250,0.003,0.9852
300,0.003,0.985
350,0.0029,0.9884
400,0.003,0.9856
450,0.003,0.9868
500,0.0029,0.9872
550,0.0029,0.986
600,0.0031,0.9866
50,0.0029,0.9874
100,0.0031,0.9856
150,0.003,0.9864
200,0.0029,0.9882
250,0.0029,0.9872
300,0.003,0.9866
350,0.003,0.9848
400,0.0029,0.9858
450,0.0031,0.984
500,0.0029,0.9888
550,0.003,0.9872
600,0.0029,0.9878
50,0.003,0.9894
100,0.0029,0.9872
150,0.0029,0.9866
200,0.0028,0.9878
250,0.0031,0.9832
300,0.0029,0.9884
350,0.0029,0.9868
400,0.003,0.9862
450,0.0029,0.9858
500,0.003,0.9882
550,0.003,0.9844
600,0.0029,0.9868
50,0.0031,0.9842
100,0.0029,0.988
150,0.0029,0.9872
200,0.0029,0.9858
250,0.0027,0.9896
300,0.0029,0.9874
350,0.0029,0.9884
400,0.0029,0.9876
450,0.0029,0.9858
500,0.0031,0.9854
550,0.0029,0.9876
600,0.0028,0.9878
50,0.003,0.9852
100,0.0029,0.9866
150,0.0029,0.9878
200,0.003,0.987
250,0.003,0.9892
300,0.003,0.9878
350,0.0028,0.989
400,0.0029,0.9856
450,0.0028,0.989
500,0.0027,0.9888
550,0.0029,0.9866
600,0.0029,0.9864
50,0.0026,0.9894
100,0.0028,0.989
150,0.0029,0.9878
200,0.0028,0.9882
250,0.0029,0.9874
300,0.003,0.9864
350,0.0029,0.988
