type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.005,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0466,0.1018
100,0.0461,0.1064
150,0.0459,0.1012
200,0.0459,0.1078
250,0.046,0.106
300,0.0456,0.1112
350,0.0454,0.1118
400,0.0457,0.1098
450,0.0454,0.1154
500,0.0452,0.1338
550,0.0454,0.1314
600,0.0448,0.1452
50,0.0444,0.1902
100,0.0443,0.2168
150,0.0433,0.2628
200,0.0429,0.2786
250,0.0412,0.348
300,0.0402,0.374
350,0.0397,0.3714
400,0.0386,0.3982
450,0.0377,0.3934
500,0.037,0.3976
550,0.0362,0.448
600,0.0353,0.4692
50,0.0346,0.496
100,0.0337,0.5372
150,0.0332,0.5554
200,0.0323,0.5816
250,0.0316,0.5976
300,0.0308,0.6234
350,0.0305,0.6292
400,0.0298,0.6566
450,0.0291,0.6582
500,0.0282,0.6926
550,0.0279,0.6846
600,0.0272,0.7034
50,0.0269,0.7118
100,0.0263,0.734
150,0.0262,0.7278
200,0.0255,0.7442
250,0.0258,0.7272
300,0.0254,0.7406
350,0.0248,0.7442
400,0.0245,0.749
450,0.0241,0.7504
500,0.0237,0.7552
550,0.0234,0.7624
600,0.023,0.7628
50,0.0231,0.7656
100,0.0228,0.7586
150,0.0224,0.76
200,0.0217,0.7742
250,0.0215,0.76
300,0.0211,0.7688
350,0.021,0.7732
400,0.0206,0.7682
450,0.021,0.7722
500,0.0198,0.7752
550,0.0197,0.7854
600,0.0202,0.7808
50,0.0197,0.7846
100,0.019,0.7948
150,0.0193,0.7898
200,0.0193,0.7958
250,0.0183,0.8088
300,0.0187,0.7972
350,0.0181,0.8114
400,0.0178,0.8228
450,0.0177,0.8196
500,0.0171,0.8342
550,0.0171,0.8326
600,0.0171,0.8432
50,0.0164,0.8516
100,0.0167,0.8484
150,0.0162,0.8624
200,0.0157,0.8684
250,0.0155,0.8684
300,0.0149,0.8836
350,0.0155,0.872
400,0.015,0.8804
450,0.0147,0.8812
500,0.0145,0.878
550,0.0145,0.881
600,0.014,0.89
50,0.0135,0.8948
100,0.0134,0.8954
150,0.0134,0.8892
200,0.0133,0.8984
250,0.0127,0.8964
300,0.0128,0.8932
350,0.0127,0.8996
400,0.0126,0.897
450,0.0126,0.8914
500,0.0119,0.9048
550,0.0122,0.8984
600,0.0122,0.896
50,0.0118,0.9006
100,0.0116,0.9052
150,0.0111,0.91
200,0.0115,0.909
250,0.0113,0.9062
300,0.0116,0.8988
350,0.0112,0.909
400,0.0114,0.8998
450,0.0113,0.904
500,0.0109,0.91
550,0.0112,0.9022
600,0.0108,0.91
50,0.011,0.9076
100,0.0105,0.9126
150,0.011,0.897
200,0.0106,0.9088
250,0.0104,0.911
300,0.0104,0.914
350,0.0103,0.9166
400,0.0104,0.9122
450,0.0102,0.9158
500,0.0103,0.9158
550,0.0098,0.9216
600,0.0098,0.9194
50,0.0101,0.915
100,0.0102,0.9122
150,0.0096,0.922
200,0.0098,0.9166
250,0.0097,0.9204
300,0.0097,0.9194
350,0.0095,0.9202
