type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.01,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0456,0.094
100,0.045,0.12
150,0.045,0.1286
200,0.0449,0.1252
250,0.0448,0.1218
300,0.0447,0.126
350,0.0445,0.1728
400,0.0443,0.2384
450,0.0436,0.2828
500,0.0426,0.2958
550,0.041,0.3386
600,0.0392,0.3674
50,0.0372,0.4118
100,0.0358,0.4706
150,0.0343,0.5156
200,0.0334,0.525
250,0.0327,0.5468
300,0.0318,0.5784
350,0.0306,0.602
400,0.0296,0.6282
450,0.0291,0.6198
500,0.0281,0.6516
550,0.0267,0.6814
600,0.0257,0.721
50,0.0248,0.728
100,0.0245,0.7368
150,0.0228,0.7712
200,0.0224,0.7696
250,0.0218,0.7648
300,0.021,0.7818
350,0.0201,0.798
400,0.0198,0.7936
450,0.0191,0.814
500,0.0182,0.8178
550,0.0183,0.8096
600,0.017,0.8394
50,0.0174,0.8366
100,0.0169,0.8452
150,0.0167,0.8462
200,0.0164,0.8562
250,0.0161,0.861
300,0.0157,0.8706
350,0.0154,0.872
400,0.0145,0.879
450,0.0145,0.8772
500,0.0145,0.8734
550,0.0143,0.8768
600,0.0142,0.8754
50,0.0135,0.8906
100,0.0137,0.8794
150,0.0134,0.8868
200,0.0128,0.8924
250,0.0127,0.8936
300,0.0129,0.8894
350,0.0125,0.8928
400,0.0124,0.8946
450,0.0123,0.891
500,0.0122,0.8914
550,0.012,0.8946
600,0.0117,0.9014
50,0.012,0.8914
100,0.0117,0.8982
150,0.0115,0.9
200,0.0115,0.8928
250,0.0116,0.8934
300,0.0115,0.8958
350,0.0117,0.894
400,0.0114,0.8936
450,0.0113,0.8982
500,0.0109,0.9084
550,0.0108,0.9028
600,0.0112,0.8992
50,0.0102,0.915
100,0.0112,0.8942
150,0.0111,0.8954
200,0.0108,0.9058
250,0.0112,0.898
300,0.0107,0.9026
350,0.0108,0.8978
400,0.0103,0.9088
450,0.0107,0.9018
500,0.0105,0.9024
550,0.0108,0.9016
600,0.0104,0.905
50,0.0106,0.902
100,0.0101,0.9062
150,0.0103,0.9064
