type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.008,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0457,0.1152
100,0.045,0.1146
150,0.0449,0.1202
200,0.0449,0.1364
250,0.0448,0.1258
300,0.0448,0.1606
350,0.0446,0.1746
400,0.0445,0.2196
450,0.0443,0.2238
500,0.0439,0.2616
550,0.0432,0.3228
600,0.0421,0.308
50,0.041,0.311
100,0.0392,0.336
150,0.0378,0.3624
200,0.0367,0.3906
250,0.0357,0.431
300,0.035,0.4776
350,0.0337,0.5378
400,0.0327,0.5498
450,0.0318,0.5804
500,0.0308,0.5976
550,0.0295,0.617
600,0.0286,0.6314
50,0.0275,0.6638
100,0.027,0.674
150,0.026,0.706
200,0.0252,0.719
250,0.0245,0.7306
300,0.0243,0.7338
350,0.0234,0.7498
400,0.0229,0.7494
450,0.022,0.7658
500,0.0219,0.7728
550,0.0209,0.7758
600,0.0204,0.7866
50,0.02,0.7802
100,0.0196,0.7898
150,0.0191,0.8004
200,0.0189,0.7952
250,0.0182,0.809
300,0.0183,0.8058
350,0.0181,0.8022
400,0.0178,0.8182
450,0.0172,0.8208
500,0.0167,0.8348
550,0.0164,0.8504
600,0.0165,0.8416
50,0.0163,0.8606
100,0.0155,0.868
150,0.0153,0.8752
200,0.0149,0.8786
250,0.0149,0.877
300,0.0148,0.8784
350,0.0147,0.8728
400,0.0149,0.8714
450,0.0143,0.8796
500,0.0142,0.8858
550,0.0139,0.8802
600,0.0137,0.8836
50,0.0134,0.8848
100,0.013,0.8966
150,0.0136,0.88
200,0.0128,0.8892
250,0.0128,0.8928
300,0.0127,0.8928
350,0.0126,0.8904
400,0.0124,0.894
450,0.012,0.9012
500,0.0121,0.8982
550,0.0121,0.8972
600,0.0121,0.8898
50,0.0122,0.8902
100,0.0118,0.8956
150,0.0118,0.8924
200,0.0118,0.8914
250,0.0115,0.8996
300,0.0116,0.9022
350,0.0108,0.913
400,0.0116,0.8978
450,0.0114,0.8966
500,0.012,0.8856
550,0.0112,0.8996
600,0.0112,0.8992
50,0.0114,0.898
100,0.011,0.9018
150,0.0111,0.9016
200,0.0113,0.8952
250,0.0111,0.8998
300,0.0108,0.904
350,0.0105,0.91
400,0.0108,0.9042
450,0.0108,0.9036
500,0.0107,0.9064
550,0.0107,0.8988
600,0.0107,0.904
50,0.0105,0.9044
100,0.0106,0.902
150,0.0103,0.9052
200,0.0104,0.908
250,0.0106,0.902
300,0.0107,0.9012
350,0.0106,0.904
400,0.0102,0.911
450,0.0102,0.9066
500,0.0108,0.9002
550,0.0102,0.91
600,0.0101,0.9136
50,0.0103,0.9052
100,0.0098,0.9136
150,0.01,0.9128
200,0.01,0.9076
250,0.0103,0.9048
300,0.0103,0.9058
350,0.0099,0.912
400,0.0104,0.9076
450,0.01,0.9084
500,0.0101,0.91
550,0.0102,0.9062
600,0.0103,0.902
50,0.01,0.9086
100,0.0099,0.912
150,0.01,0.9076
200,0.0099,0.9118
250,0.0101,0.9074
300,0.01,0.906
350,0.0097,0.9102
400,0.0099,0.908
450,0.0097,0.9116
500,0.0101,0.905
550,0.0096,0.9108
600,0.0094,0.9144
50,0.0095,0.9132
100,0.0097,0.907
150,0.0094,0.9152
200,0.0097,0.908
250,0.01,0.9056
300,0.0097,0.9094
350,0.0094,0.9196
400,0.0096,0.9112
450,0.0095,0.9142
500,0.0104,0.9012
550,0.0095,0.912
600,0.0095,0.9102
50,0.0095,0.9078
100,0.0092,0.9164
150,0.0097,0.9096
200,0.0094,0.9126
250,0.0097,0.9074
300,0.0091,0.92
350,0.0093,0.9154
400,0.0094,0.9134
450,0.0098,0.9116
500,0.0093,0.9152
550,0.0093,0.9142
600,0.0091,0.916
50,0.009,0.9172
100,0.0093,0.9172
150,0.0096,0.912
200,0.0094,0.9144
250,0.0089,0.9228
300,0.0098,0.9054
350,0.0095,0.9112
400,0.009,0.917
450,0.0091,0.915
500,0.0092,0.9144
550,0.0091,0.9152
600,0.0089,0.9182
50,0.0089,0.9204
100,0.009,0.9208
150,0.0094,0.9112
200,0.0094,0.9142
250,0.0094,0.9068
300,0.0089,0.9172
350,0.0088,0.9218
400,0.0091,0.916
450,0.009,0.9142
500,0.0089,0.9204
550,0.0091,0.9154
600,0.0088,0.917
50,0.0087,0.9202
100,0.0087,0.9246
150,0.009,0.916
200,0.009,0.919
250,0.0092,0.9148
300,0.009,0.9144
350,0.0089,0.9172
400,0.009,0.9202
450,0.0089,0.92
500,0.0089,0.917
550,0.0087,0.9212
600,0.0086,0.92
50,0.0086,0.9228
100,0.0085,0.9242
150,0.0087,0.9194
200,0.0086,0.9218
250,0.009,0.9136
300,0.0086,0.9196
350,0.009,0.9172
400,0.0089,0.9218
450,0.0087,0.917
500,0.0086,0.9236
550,0.0089,0.9176
600,0.0085,0.9218
50,0.009,0.9202
100,0.0086,0.9226
150,0.0086,0.9236
200,0.0083,0.9248
250,0.0086,0.9216
300,0.0089,0.9146
350,0.0084,0.9238
400,0.0088,0.9168
450,0.0084,0.924
500,0.0087,0.9198
550,0.0085,0.9248
600,0.0087,0.9174
50,0.0084,0.9216
100,0.009,0.9134
150,0.0085,0.9232
200,0.0082,0.9244
250,0.0084,0.9226
300,0.0087,0.9184
350,0.008,0.9264
400,0.0083,0.9234
450,0.0083,0.9266
500,0.0088,0.9164
550,0.0083,0.9282
600,0.0084,0.9266
50,0.0083,0.929
100,0.0083,0.9254
150,0.0086,0.922
200,0.0081,0.9308
250,0.0085,0.923
300,0.0082,0.9274
350,0.0082,0.9276
400,0.0083,0.9252
450,0.0081,0.9238
