type,middle_layers,learning_rate,weight_decay,momentum
Relu,1000,0.005,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0386,0.5164
100,0.027,0.7518
150,0.0236,0.8076
200,0.022,0.8298
250,0.0203,0.8432
300,0.0192,0.8524
350,0.0183,0.8596
400,0.0173,0.867
450,0.0162,0.8754
500,0.0157,0.881
550,0.0149,0.8872
600,0.0146,0.887
50,0.0136,0.8984
100,0.013,0.8964
150,0.0125,0.9032
200,0.0125,0.8962
250,0.0115,0.9096
300,0.0112,0.912
350,0.011,0.9144
400,0.0105,0.9172
450,0.0105,0.9196
500,0.0104,0.9202
550,0.0105,0.916
600,0.0102,0.9162
50,0.0096,0.9258
100,0.0097,0.9194
150,0.0095,0.9258
200,0.0093,0.9322
250,0.009,0.9288
300,0.0091,0.9304
350,0.009,0.927
400,0.0087,0.934
450,0.0086,0.9316
500,0.0086,0.9356
550,0.0089,0.9264
600,0.0087,0.9366
50,0.0082,0.936
100,0.0084,0.936
150,0.0081,0.9372
200,0.008,0.9378
250,0.008,0.9428
300,0.0078,0.942
350,0.0079,0.9422
400,0.0078,0.9454
450,0.0076,0.9442
500,0.0079,0.941
550,0.0078,0.942
600,0.0077,0.9454
50,0.0074,0.9472
100,0.0071,0.9506
150,0.0073,0.947
200,0.0075,0.9458
250,0.0073,0.9438
300,0.0068,0.9552
350,0.0073,0.9458
400,0.0071,0.9512
450,0.0072,0.9468
500,0.0073,0.9466
550,0.007,0.9504
600,0.007,0.9548
50,0.0069,0.9514
100,0.0068,0.9546
150,0.0064,0.958
200,0.0069,0.9496
250,0.0064,0.9582
300,0.0067,0.954
350,0.0068,0.9518
400,0.0064,0.9604
450,0.0066,0.955
500,0.0066,0.9552
550,0.0067,0.9506
600,0.0064,0.957
50,0.0065,0.9574
100,0.0064,0.9554
150,0.0065,0.9568
200,0.0064,0.959
250,0.0062,0.959
300,0.0064,0.9578
350,0.0063,0.9542
400,0.0061,0.9612
450,0.0061,0.9576
500,0.0061,0.9634
550,0.0057,0.9648
600,0.0059,0.9602
50,0.0061,0.958
100,0.0061,0.9606
150,0.006,0.9602
200,0.0062,0.9576
250,0.006,0.96
300,0.0056,0.964
350,0.0059,0.9652
400,0.0057,0.966
450,0.0057,0.9612
500,0.0057,0.9638
550,0.0057,0.9646
600,0.0057,0.965
50,0.0058,0.9622
100,0.0056,0.965
150,0.0053,0.968
200,0.0058,0.9618
250,0.0056,0.9662
300,0.0056,0.963
350,0.0055,0.966
400,0.0056,0.964
450,0.0054,0.967
500,0.0058,0.96
550,0.0055,0.9666
600,0.0054,0.9652
50,0.0054,0.9652
100,0.0052,0.9698
150,0.0052,0.9702
200,0.0053,0.9694
250,0.0055,0.9634
300,0.0055,0.963
350,0.0054,0.9666
400,0.0052,0.9684
450,0.0053,0.9672
500,0.0052,0.9676
550,0.0055,0.9636
600,0.0053,0.9672
50,0.0051,0.9666
100,0.0053,0.9668
150,0.0052,0.9694
200,0.0051,0.971
250,0.005,0.97
300,0.0053,0.9652
350,0.005,0.9704
400,0.0054,0.9622
450,0.0052,0.9714
500,0.005,0.9706
550,0.0048,0.9726
600,0.0048,0.9722
50,0.0049,0.9718
100,0.0049,0.9714
150,0.005,0.9694
200,0.005,0.9698
250,0.0048,0.9724
300,0.0051,0.969
350,0.0048,0.9704
400,0.0049,0.9692
450,0.0047,0.9754
500,0.0052,0.9676
550,0.0049,0.9722
600,0.0048,0.9726
50,0.0049,0.9718
100,0.0046,0.9738
150,0.0048,0.9706
200,0.0046,0.974
250,0.0049,0.9708
300,0.005,0.9688
350,0.0046,0.9742
400,0.0047,0.9724
450,0.005,0.9722
500,0.0047,0.9728
550,0.0046,0.9702
600,0.0045,0.9758
50,0.0047,0.9726
100,0.0044,0.9756
150,0.0045,0.9726
200,0.0046,0.9724
250,0.0047,0.9702
300,0.0044,0.9738
350,0.0047,0.9756
400,0.0045,0.9758
450,0.0047,0.9742
500,0.0046,0.9754
550,0.0047,0.9732
600,0.0045,0.9736
50,0.0043,0.9762
100,0.0044,0.9748
150,0.0048,0.9704
200,0.0046,0.9738
250,0.0045,0.9746
300,0.0044,0.9736
350,0.0043,0.9776
400,0.0043,0.9752
450,0.0044,0.9738
500,0.0044,0.9732
550,0.0045,0.9754
600,0.0043,0.975
50,0.0045,0.9732
100,0.0043,0.9758
150,0.0042,0.9772
200,0.0043,0.9748
250,0.0045,0.9744
300,0.0043,0.9744
350,0.0042,0.9756
400,0.0044,0.9742
450,0.0041,0.9786
500,0.0042,0.9768
550,0.0043,0.976
600,0.0044,0.9762
50,0.0042,0.9744
100,0.0043,0.9754
150,0.0042,0.975
200,0.0042,0.978
250,0.0042,0.9754
300,0.0041,0.9798
350,0.0043,0.9754
400,0.0043,0.978
450,0.0043,0.9754
500,0.0041,0.9786
550,0.0042,0.9764
600,0.0041,0.9768
50,0.0041,0.978
100,0.0042,0.9746
150,0.0042,0.9756
200,0.004,0.9772
250,0.0041,0.978
300,0.0041,0.9782
350,0.0041,0.9776
400,0.004,0.9808
450,0.0041,0.9764
500,0.004,0.9768
550,0.0041,0.979
600,0.0041,0.9794
50,0.0041,0.978
100,0.004,0.9772
150,0.004,0.9786
200,0.004,0.9784
250,0.0038,0.9808
300,0.0041,0.9762
350,0.004,0.9778
400,0.0039,0.9786
450,0.0041,0.9768
500,0.0039,0.981
550,0.0039,0.9786
600,0.004,0.9782
50,0.0039,0.9794
100,0.004,0.978
150,0.0039,0.978
200,0.0038,0.9834
250,0.004,0.9768
300,0.0039,0.9788
350,0.0039,0.977
400,0.0038,0.9816
450,0.0038,0.9796
500,0.0038,0.9796
550,0.0039,0.9782
600,0.004,0.9778
50,0.0037,0.9832
100,0.0039,0.9782
150,0.004,0.9792
200,0.0037,0.9832
250,0.0039,0.98
300,0.0038,0.9774
350,0.0038,0.9812
400,0.0038,0.9796
450,0.0037,0.9792
500,0.004,0.9758
550,0.0039,0.9782
600,0.0035,0.9848
50,0.0036,0.9842
100,0.0037,0.9798
150,0.0036,0.9848
200,0.0038,0.9784
250,0.0037,0.9818
300,0.0037,0.9806
350,0.0039,0.9792
400,0.0037,0.9788
450,0.0038,0.9806
500,0.0039,0.9772
550,0.0037,0.9802
600,0.0037,0.983
50,0.0035,0.983
100,0.0036,0.9816
150,0.0038,0.9794
200,0.0037,0.981
250,0.0038,0.9802
300,0.0033,0.9856
350,0.0037,0.981
400,0.0036,0.9796
450,0.0037,0.9802
500,0.0038,0.9776
550,0.0036,0.984
600,0.0037,0.9798
50,0.0036,0.9834
100,0.0035,0.9812
150,0.0037,0.983
200,0.0037,0.9792
250,0.0035,0.9838
300,0.0037,0.9802
350,0.0037,0.9798
400,0.0035,0.9822
450,0.0035,0.9826
500,0.0035,0.9802
550,0.0036,0.981
600,0.0035,0.9818
50,0.0035,0.9822
100,0.0036,0.981
150,0.0036,0.981
200,0.0035,0.9824
250,0.0036,0.98
300,0.0036,0.9838
350,0.0035,0.9824
400,0.0036,0.9808
450,0.0033,0.983
500,0.0035,0.9842
550,0.0034,0.9818
600,0.0035,0.9826
50,0.0034,0.9828
100,0.0033,0.986
150,0.0035,0.9822
200,0.0034,0.9826
250,0.0034,0.986
300,0.0036,0.9806
350,0.0034,0.9844
400,0.0034,0.9824
450,0.0037,0.9788
500,0.0035,0.9816
550,0.0034,0.9824
600,0.0034,0.9826
50,0.0034,0.9816
100,0.0033,0.9836
150,0.0035,0.9844
200,0.0035,0.981
250,0.0033,0.9864
300,0.0034,0.9818
350,0.0032,0.9874
400,0.0034,0.9834
450,0.0033,0.9842
500,0.0035,0.9804
550,0.0034,0.9812
600,0.0034,0.9834
50,0.0034,0.9838
100,0.0033,0.9838
150,0.0034,0.9814
200,0.0034,0.984
250,0.0034,0.9824
300,0.0034,0.9822
350,0.0034,0.9812
400,0.0032,0.9862
450,0.0033,0.9834
500,0.0033,0.9868
550,0.0033,0.9846
600,0.0032,0.9834
50,0.0034,0.9812
100,0.0032,0.9864
150,0.0032,0.9844
200,0.0032,0.9868
250,0.0033,0.9842
300,0.0033,0.9838
350,0.0031,0.9876
400,0.0033,0.9806
450,0.0033,0.9842
500,0.0034,0.981
550,0.0031,0.9848
600,0.0033,0.984
50,0.0033,0.9858
100,0.0031,0.985
150,0.0032,0.9832
200,0.0033,0.9834
250,0.0031,0.986
300,0.0033,0.9834
350,0.0033,0.9818
400,0.0031,0.9866
450,0.0032,0.9842
500,0.0034,0.9824
550,0.0032,0.9862
600,0.0032,0.986
50,0.0031,0.9848
100,0.0031,0.988
150,0.0033,0.981
200,0.0032,0.9816
250,0.003,0.9856
300,0.0034,0.981
350,0.0033,0.985
400,0.0032,0.9866
450,0.003,0.9888
500,0.0032,0.9834
550,0.003,0.9884
600,0.0031,0.9852
50,0.0031,0.9866
100,0.0032,0.9848
150,0.0032,0.9834
200,0.003,0.9866
250,0.0031,0.9828
300,0.0032,0.9838
350,0.0032,0.9848
400,0.0032,0.9842
450,0.0031,0.9858
500,0.003,0.9862
550,0.003,0.9866
600,0.003,0.987
50,0.0029,0.9912
100,0.0031,0.985
150,0.0031,0.985
200,0.0032,0.9854
250,0.0031,0.9856
300,0.003,0.985
350,0.0029,0.9876
400,0.0031,0.9842
450,0.0033,0.9836
500,0.0031,0.9838
550,0.0031,0.9834
600,0.003,0.9864
50,0.0031,0.9846
100,0.0029,0.9876
150,0.003,0.9852
200,0.0031,0.9852
250,0.003,0.9858
300,0.003,0.9872
350,0.0031,0.9828
400,0.0031,0.984
450,0.0031,0.9848
500,0.003,0.9866
550,0.003,0.9864
600,0.003,0.9864
50,0.0032,0.9826
100,0.0028,0.989
150,0.0031,0.985
200,0.003,0.9864
250,0.0031,0.9832
300,0.003,0.9864
350,0.0029,0.9866
400,0.0029,0.988
450,0.0029,0.987
500,0.003,0.9864
550,0.003,0.9858
600,0.003,0.9872
50,0.0029,0.9874
100,0.0031,0.9858
150,0.0029,0.9864
200,0.003,0.9858
250,0.003,0.9866
300,0.0031,0.9846
350,0.003,0.986
400,0.003,0.9854
450,0.0028,0.9858
500,0.003,0.9856
550,0.0029,0.988
600,0.0028,0.986
50,0.0028,0.9876
100,0.003,0.986
150,0.0029,0.9874
200,0.0029,0.9868
250,0.0027,0.9886
300,0.0029,0.9876
350,0.003,0.9874
400,0.003,0.9864
450,0.0029,0.9872
500,0.003,0.9864
550,0.003,0.9858
600,0.003,0.9842
50,0.0031,0.9852
100,0.0027,0.9884
150,0.0029,0.9856
200,0.0029,0.9858
250,0.0029,0.9888
300,0.0029,0.987
350,0.0027,0.9884
400,0.0028,0.9866
450,0.0028,0.9888
500,0.0029,0.9856
550,0.0029,0.985
600,0.0029,0.9862
50,0.0028,0.9882
100,0.0029,0.9856
150,0.0029,0.986
200,0.0028,0.987
250,0.0029,0.9878
300,0.0029,0.988
350,0.0027,0.9884
400,0.0028,0.9876
450,0.0028,0.9866
500,0.0029,0.987
550,0.0029,0.9862
600,0.0028,0.9904
50,0.0027,0.9894
100,0.0026,0.9892
150,0.0027,0.9886
200,0.0028,0.9866
250,0.0028,0.9858
300,0.0028,0.9874
350,0.003,0.985
400,0.0027,0.9894
450,0.003,0.9842
500,0.0028,0.9886
550,0.0028,0.9874
600,0.0028,0.9876
50,0.0028,0.9866
100,0.0027,0.988
150,0.0029,0.9846
200,0.0027,0.9876
250,0.0028,0.9878
300,0.0028,0.9884
350,0.0029,0.9862
400,0.0029,0.9856
450,0.0027,0.9902
500,0.0026,0.989
550,0.0027,0.9882
