type,middle_layers,learning_rate,weight_decay,momentum
Relu,1000,0.008,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0362,0.5816
100,0.0251,0.7834
150,0.0214,0.8294
200,0.0194,0.8476
250,0.0178,0.8622
300,0.0161,0.8768
350,0.0151,0.8846
400,0.0138,0.8928
450,0.0132,0.8912
500,0.0121,0.9124
550,0.0115,0.9108
600,0.0116,0.9072
50,0.0109,0.9176
100,0.0105,0.9178
150,0.0098,0.9282
200,0.0096,0.9276
250,0.0096,0.927
300,0.0094,0.9262
350,0.0094,0.9258
400,0.009,0.9314
450,0.0092,0.9284
500,0.0089,0.9304
550,0.0088,0.9312
600,0.0087,0.931
50,0.0083,0.9356
100,0.0079,0.9432
150,0.0079,0.9414
200,0.0078,0.9418
250,0.0077,0.9448
300,0.0078,0.9444
350,0.0077,0.9476
400,0.0077,0.9468
450,0.0076,0.943
500,0.0075,0.9454
550,0.0073,0.9484
600,0.0074,0.9472
50,0.007,0.9518
100,0.007,0.9538
150,0.0068,0.958
200,0.0068,0.9534
250,0.0069,0.9506
300,0.0068,0.9534
350,0.0067,0.9542
400,0.0068,0.953
450,0.0066,0.9562
500,0.0068,0.9506
550,0.0066,0.9538
600,0.0064,0.9588
50,0.0063,0.9568
100,0.0063,0.9592
150,0.006,0.963
200,0.0063,0.9582
250,0.0063,0.9592
300,0.0062,0.9596
350,0.006,0.9622
400,0.0061,0.9596
450,0.006,0.9618
500,0.0063,0.9582
550,0.0058,0.9638
600,0.0059,0.9628
50,0.0059,0.9638
100,0.0057,0.9634
150,0.0056,0.9622
200,0.006,0.9592
250,0.0058,0.9652
300,0.0057,0.9654
350,0.0056,0.9668
400,0.0057,0.9628
450,0.0055,0.9662
500,0.0053,0.97
550,0.0056,0.9658
600,0.0056,0.9632
50,0.0051,0.9706
100,0.0056,0.9668
150,0.0055,0.9662
200,0.0052,0.9692
250,0.0055,0.9606
300,0.0053,0.9666
350,0.0053,0.9654
400,0.005,0.9704
450,0.0054,0.9694
500,0.0052,0.9688
550,0.0053,0.9696
600,0.0052,0.969
50,0.0051,0.9678
100,0.0049,0.9718
150,0.0052,0.9672
200,0.005,0.9706
250,0.0048,0.9728
300,0.0051,0.9698
350,0.005,0.9722
400,0.0048,0.9732
450,0.005,0.9668
500,0.0049,0.9686
550,0.0051,0.9682
600,0.0049,0.9724
50,0.0046,0.9732
100,0.0048,0.97
150,0.0047,0.9738
200,0.0047,0.973
250,0.0048,0.9738
300,0.0046,0.9732
350,0.0048,0.9734
400,0.0048,0.9716
450,0.0048,0.971
500,0.0047,0.9734
550,0.0048,0.9698
600,0.0047,0.9738
50,0.0045,0.9758
100,0.0045,0.976
150,0.0046,0.9728
200,0.0047,0.9734
250,0.0047,0.973
300,0.0045,0.9742
350,0.0045,0.975
400,0.0046,0.9728
450,0.0046,0.9714
500,0.0043,0.979
550,0.0042,0.9774
600,0.0045,0.9738
50,0.0044,0.975
100,0.0042,0.979
150,0.0045,0.9728
200,0.0042,0.979
250,0.0045,0.9726
300,0.0042,0.9732
350,0.0042,0.9784
400,0.0043,0.9744
450,0.0042,0.9772
500,0.0042,0.978
550,0.0043,0.9742
600,0.0043,0.9766
50,0.004,0.9784
100,0.0042,0.976
150,0.0041,0.9782
200,0.0041,0.9778
250,0.0042,0.9784
300,0.0041,0.9758
350,0.0042,0.977
400,0.004,0.9774
450,0.0041,0.9766
500,0.0042,0.978
550,0.0041,0.9762
600,0.0043,0.975
50,0.0039,0.979
100,0.0043,0.9758
150,0.004,0.974
200,0.0039,0.9796
250,0.004,0.9784
300,0.0041,0.9794
350,0.0042,0.9758
400,0.0036,0.9828
450,0.0039,0.9802
500,0.004,0.9772
550,0.0039,0.9806
600,0.004,0.9768
50,0.004,0.9794
100,0.0038,0.98
150,0.0039,0.9794
200,0.0038,0.9788
250,0.0039,0.9802
300,0.0038,0.9792
350,0.0038,0.9804
400,0.004,0.9796
450,0.0037,0.9814
500,0.004,0.9766
550,0.0038,0.9802
600,0.0038,0.9808
50,0.0039,0.978
100,0.0037,0.9816
150,0.0038,0.9798
200,0.0039,0.978
250,0.0039,0.9796
300,0.0037,0.9826
350,0.0037,0.9802
400,0.0035,0.9834
450,0.0036,0.9804
500,0.0035,0.983
550,0.0037,0.982
600,0.0038,0.978
50,0.0038,0.9806
100,0.0036,0.9816
150,0.0036,0.9802
200,0.0036,0.982
250,0.0036,0.9806
300,0.0035,0.9796
350,0.0036,0.9816
400,0.0037,0.9808
450,0.0037,0.9804
500,0.0035,0.9838
550,0.0036,0.9806
600,0.0035,0.983
50,0.0034,0.9838
100,0.0037,0.9802
150,0.0037,0.981
200,0.0033,0.985
250,0.0034,0.9828
300,0.0035,0.9814
350,0.0035,0.9832
400,0.0034,0.9816
450,0.0035,0.9824
500,0.0036,0.9826
550,0.0035,0.9814
600,0.0034,0.9834
50,0.0034,0.9818
100,0.0035,0.9836
150,0.0035,0.9816
200,0.0033,0.9838
250,0.0034,0.9824
300,0.0033,0.9854
350,0.0033,0.987
400,0.0034,0.9826
450,0.0035,0.9788
500,0.0036,0.9808
550,0.0035,0.9814
600,0.0034,0.9838
