type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.005,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0463,0.1268
100,0.0447,0.1454
150,0.0442,0.1694
200,0.0435,0.4506
250,0.042,0.5052
300,0.0389,0.4894
350,0.0351,0.534
400,0.0324,0.581
450,0.0301,0.6362
500,0.0284,0.6738
550,0.0266,0.7016
600,0.0251,0.7246
50,0.0236,0.7406
100,0.0222,0.7624
150,0.0215,0.7778
200,0.0202,0.7984
250,0.0194,0.8054
300,0.018,0.8194
350,0.0178,0.83
400,0.0166,0.8588
450,0.0155,0.8766
500,0.0148,0.8852
550,0.0144,0.8856
600,0.0143,0.8798
50,0.0135,0.8846
100,0.0129,0.9
150,0.0126,0.89
200,0.0121,0.899
250,0.012,0.8954
300,0.0117,0.8894
350,0.0114,0.8992
400,0.0107,0.9086
450,0.0108,0.9056
500,0.0108,0.8988
550,0.0102,0.9086
600,0.01,0.9142
50,0.0098,0.9146
100,0.0099,0.9062
150,0.0097,0.9176
200,0.0094,0.9182
250,0.0092,0.9138
300,0.0096,0.9106
350,0.0095,0.9068
400,0.0089,0.9202
450,0.0087,0.9222
500,0.0088,0.9204
550,0.0085,0.9192
600,0.0083,0.9252
50,0.0084,0.925
100,0.0084,0.922
150,0.0082,0.9224
200,0.0078,0.93
250,0.0082,0.9212
300,0.008,0.9298
350,0.008,0.925
400,0.0074,0.9324
450,0.0077,0.931
500,0.0077,0.928
550,0.0073,0.9326
600,0.0071,0.9364
50,0.0074,0.9336
100,0.0073,0.9338
150,0.0071,0.9368
200,0.007,0.934
250,0.0069,0.9372
300,0.0069,0.9346
350,0.0068,0.9374
400,0.0067,0.9406
450,0.0066,0.9426
500,0.0064,0.9414
550,0.0067,0.939
600,0.0067,0.9414
50,0.0065,0.9426
100,0.0066,0.94
150,0.0062,0.9466
200,0.0061,0.9462
250,0.0064,0.942
300,0.0061,0.944
350,0.006,0.9486
400,0.0062,0.9456
450,0.0058,0.9488
500,0.0059,0.947
550,0.0057,0.9506
600,0.0059,0.944
50,0.0057,0.9498
100,0.0056,0.949
150,0.0055,0.9498
200,0.0057,0.9482
250,0.0058,0.946
300,0.0054,0.9512
350,0.0054,0.9534
400,0.0054,0.954
450,0.0052,0.9534
500,0.0055,0.9484
550,0.0053,0.9552
600,0.0053,0.9518
50,0.0049,0.9576
100,0.0051,0.9568
150,0.0052,0.9524
200,0.0051,0.9552
250,0.0051,0.9546
300,0.0049,0.9558
350,0.0049,0.9576
400,0.0051,0.9542
450,0.005,0.9558
500,0.0049,0.956
550,0.005,0.9582
600,0.0047,0.961
50,0.0046,0.9614
100,0.0048,0.9588
150,0.0046,0.9616
200,0.005,0.9558
250,0.0044,0.9624
300,0.0044,0.9612
350,0.0047,0.959
400,0.0047,0.9576
450,0.0044,0.9614
500,0.0043,0.9634
550,0.0044,0.9614
600,0.0045,0.9604
50,0.0043,0.9658
100,0.0044,0.9602
150,0.0044,0.9646
200,0.0044,0.963
250,0.0043,0.9588
300,0.0042,0.9656
350,0.0043,0.961
400,0.0041,0.9646
450,0.0043,0.9624
500,0.0041,0.9652
550,0.004,0.9676
600,0.0041,0.9638
50,0.004,0.9678
100,0.0042,0.9634
150,0.0039,0.9678
200,0.004,0.9654
250,0.004,0.9656
300,0.004,0.9668
350,0.0039,0.967
400,0.0039,0.9672
450,0.0038,0.968
500,0.0037,0.9676
550,0.0039,0.9686
600,0.0041,0.9636
50,0.0036,0.9728
100,0.0039,0.9668
150,0.0037,0.9688
200,0.0038,0.9644
250,0.0038,0.969
300,0.0038,0.9716
350,0.0037,0.971
400,0.0038,0.9672
450,0.0036,0.9698
500,0.0036,0.9666
550,0.0038,0.9672
600,0.0036,0.972
50,0.0034,0.9724
100,0.0035,0.9724
150,0.0036,0.9688
200,0.0035,0.9702
250,0.0034,0.9718
300,0.0034,0.9714
350,0.0035,0.9696
400,0.0034,0.971
450,0.0034,0.973
500,0.0037,0.9688
550,0.0035,0.9734
600,0.0035,0.9698
50,0.0034,0.97
100,0.0032,0.9742
150,0.0036,0.9712
200,0.0033,0.973
250,0.0033,0.9734
300,0.0034,0.971
350,0.0034,0.9716
400,0.0031,0.975
450,0.0034,0.9738
500,0.0034,0.97
550,0.0031,0.9754
600,0.0032,0.9732
50,0.0031,0.9742
100,0.0032,0.9718
150,0.0032,0.9728
200,0.0033,0.973
250,0.003,0.9766
300,0.0033,0.9738
350,0.0034,0.9714
400,0.003,0.9782
450,0.003,0.9762
500,0.0029,0.978
550,0.0032,0.971
600,0.003,0.9768
50,0.0032,0.9732
100,0.003,0.9774
150,0.0031,0.9754
200,0.0031,0.9776
250,0.0028,0.9786
300,0.0029,0.9762
350,0.0029,0.9772
400,0.0034,0.969
450,0.0029,0.9788
500,0.003,0.9752
550,0.003,0.9756
600,0.0029,0.977
50,0.0029,0.9804
100,0.0028,0.976
150,0.0028,0.978
200,0.0028,0.9788
250,0.0029,0.9768
300,0.0029,0.9768
350,0.0029,0.9782
400,0.0027,0.9804
450,0.003,0.9752
500,0.003,0.9756
550,0.0029,0.9766
600,0.003,0.975
50,0.0029,0.9796
100,0.0028,0.9768
150,0.0026,0.9814
200,0.0026,0.9802
250,0.0028,0.9788
300,0.0028,0.9774
350,0.0028,0.979
400,0.0027,0.979
450,0.0029,0.9776
500,0.0028,0.9772
550,0.0028,0.977
600,0.0027,0.9798
50,0.0027,0.9816
100,0.0027,0.9812
150,0.0025,0.9804
200,0.0027,0.9794
250,0.0027,0.9792
300,0.0026,0.9794
350,0.0029,0.9766
400,0.0025,0.9842
450,0.0027,0.9782
500,0.0026,0.9812
550,0.0028,0.9774
600,0.0027,0.9794
50,0.0026,0.9804
100,0.0026,0.982
150,0.0026,0.9802
200,0.0026,0.9806
250,0.0024,0.9824
300,0.0024,0.9816
350,0.0027,0.9772
400,0.0025,0.9812
450,0.0026,0.9788
500,0.0028,0.9772
550,0.0025,0.9816
600,0.0024,0.9812
50,0.0025,0.9784
100,0.0022,0.9864
150,0.0026,0.979
200,0.0025,0.9816
250,0.0024,0.983
300,0.0025,0.981
350,0.0025,0.9802
400,0.0024,0.9822
450,0.0027,0.9784
500,0.0024,0.9818
550,0.0023,0.984
600,0.0024,0.982
50,0.0024,0.9826
100,0.0024,0.9824
150,0.0023,0.9854
200,0.0024,0.9836
250,0.0024,0.9814
300,0.0024,0.9816
350,0.0024,0.983
400,0.0023,0.985
450,0.0024,0.9802
500,0.0026,0.9786
550,0.0024,0.9818
600,0.0024,0.9822
50,0.0023,0.9844
100,0.0025,0.981
150,0.0023,0.983
200,0.0023,0.9834
250,0.0023,0.9842
300,0.0024,0.9854
350,0.0025,0.9778
400,0.0024,0.981
450,0.0024,0.9832
500,0.0021,0.9862
550,0.0022,0.9856
600,0.0023,0.9806
50,0.0023,0.9846
100,0.0022,0.9872
150,0.0023,0.9842
200,0.0024,0.9808
250,0.0023,0.986
300,0.0022,0.986
350,0.0021,0.9856
400,0.0023,0.983
450,0.0023,0.9812
500,0.0023,0.9822
550,0.0024,0.9786
600,0.0021,0.9858
50,0.0021,0.9856
100,0.0022,0.9848
150,0.0022,0.9834
200,0.0021,0.985
250,0.0021,0.985
300,0.0023,0.984
350,0.0023,0.9836
400,0.0021,0.9862
450,0.0021,0.9844
500,0.0022,0.9854
550,0.0022,0.9836
600,0.0023,0.9844
50,0.0022,0.9836
100,0.002,0.9874
150,0.0021,0.9848
200,0.0021,0.9862
250,0.002,0.9868
300,0.0022,0.9832
350,0.0021,0.9852
400,0.002,0.9872
450,0.0023,0.9852
500,0.0022,0.9834
550,0.0022,0.984
600,0.0021,0.9862
50,0.0021,0.9868
100,0.0021,0.9856
150,0.0021,0.9852
200,0.0021,0.9856
250,0.0021,0.9842
300,0.0021,0.9864
350,0.0021,0.9856
400,0.002,0.9876
450,0.002,0.9864
500,0.002,0.9846
550,0.002,0.9864
600,0.0021,0.9842
50,0.002,0.9876
100,0.002,0.9884
150,0.002,0.9858
200,0.0019,0.988
250,0.0021,0.986
300,0.0021,0.9828
350,0.0021,0.9858
400,0.002,0.9864
450,0.0021,0.985
500,0.0019,0.9886
550,0.0019,0.9866
600,0.0021,0.9874
50,0.0019,0.9892
100,0.0019,0.989
150,0.0019,0.9866
200,0.0021,0.9838
250,0.0019,0.9874
300,0.002,0.9858
350,0.0019,0.9884
400,0.002,0.9862
450,0.0019,0.988
500,0.002,0.9854
550,0.0021,0.9846
600,0.002,0.9868
50,0.0019,0.9868
100,0.0019,0.9882
150,0.0022,0.9838
200,0.0018,0.9888
250,0.0019,0.987
300,0.0018,0.99
350,0.002,0.9862
400,0.0019,0.9862
450,0.0019,0.9878
500,0.002,0.9852
550,0.0019,0.9866
600,0.0018,0.99
50,0.0017,0.9898
100,0.002,0.985
150,0.0019,0.9868
200,0.0018,0.9876
250,0.0018,0.9888
300,0.0018,0.9886
350,0.0019,0.9868
400,0.0019,0.9874
450,0.0019,0.9886
500,0.0018,0.9882
550,0.0019,0.9868
600,0.0018,0.988
50,0.0017,0.9888
100,0.0018,0.9888
150,0.002,0.9866
200,0.0018,0.9892
250,0.0018,0.9898
300,0.0018,0.9884
350,0.0016,0.9918
400,0.0019,0.9884
450,0.0018,0.9878
500,0.0019,0.9872
550,0.0019,0.986
600,0.0019,0.9868
50,0.0017,0.989
100,0.0018,0.9884
150,0.0018,0.9898
200,0.002,0.9854
250,0.0018,0.9868
300,0.0018,0.9878
350,0.0018,0.9882
400,0.0016,0.9914
450,0.0018,0.9892
500,0.0017,0.9884
550,0.0017,0.9916
600,0.0017,0.9886
50,0.0017,0.9904
100,0.0017,0.9896
150,0.0016,0.9908
200,0.0017,0.9892
250,0.0017,0.988
300,0.0017,0.989
350,0.0019,0.9882
400,0.0017,0.9896
450,0.0018,0.9884
500,0.0018,0.9886
550,0.0018,0.988
600,0.0018,0.987
50,0.0017,0.9906
100,0.0018,0.9882
150,0.0016,0.9916
200,0.0017,0.9884
250,0.0018,0.988
300,0.0017,0.989
350,0.0017,0.9898
400,0.0017,0.99
450,0.0016,0.992
500,0.0017,0.99
550,0.0018,0.987
600,0.0016,0.9902
50,0.0016,0.9896
100,0.0015,0.9908
150,0.0016,0.9906
200,0.0017,0.989
250,0.0017,0.9906
300,0.0017,0.9896
350,0.0017,0.988
400,0.0017,0.9894
450,0.0019,0.9872
500,0.0018,0.9864
550,0.0016,0.991
600,0.0016,0.9924
50,0.0015,0.9904
100,0.0015,0.99
150,0.0015,0.9922
200,0.0017,0.9896
250,0.0018,0.987
300,0.0017,0.9896
350,0.0017,0.99
400,0.0017,0.9894
450,0.0016,0.9926
500,0.0015,0.991
550,0.0018,0.9876
600,0.0016,0.9886
50,0.0015,0.9922
100,0.0015,0.9924
150,0.0016,0.9886
200,0.0017,0.9892
