type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.01,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0457,0.1532
100,0.0439,0.2926
150,0.0407,0.4566
200,0.0347,0.5242
250,0.0298,0.6272
300,0.0263,0.7318
350,0.0235,0.7884
400,0.0212,0.7936
450,0.0195,0.8138
500,0.0178,0.8444
550,0.0159,0.8662
600,0.0145,0.8832
50,0.0134,0.8914
100,0.0129,0.8842
150,0.0117,0.898
200,0.0114,0.8966
250,0.011,0.903
300,0.0103,0.9034
350,0.0103,0.9044
400,0.0097,0.906
450,0.0095,0.9086
500,0.0093,0.9148
550,0.0093,0.9116
600,0.0087,0.9144
50,0.0087,0.9218
100,0.0085,0.9192
150,0.0084,0.918
200,0.0081,0.9262
250,0.0079,0.9236
300,0.0075,0.9304
350,0.0076,0.9304
400,0.0074,0.9306
450,0.0073,0.9292
500,0.0069,0.9364
550,0.0069,0.9358
600,0.0069,0.9342
50,0.0063,0.941
100,0.0066,0.939
150,0.0067,0.9376
200,0.0065,0.939
250,0.0064,0.941
300,0.0061,0.9462
350,0.0059,0.9438
400,0.0059,0.946
450,0.0055,0.9484
500,0.0054,0.9506
550,0.0058,0.9476
600,0.0057,0.9486
50,0.0054,0.952
100,0.0055,0.9496
150,0.0053,0.9516
200,0.0051,0.956
250,0.005,0.9548
300,0.0055,0.9456
350,0.0046,0.959
400,0.005,0.9536
450,0.0049,0.9574
500,0.0046,0.9594
550,0.0047,0.9602
600,0.0047,0.959
50,0.0046,0.9586
100,0.0048,0.9568
150,0.0044,0.9608
200,0.0042,0.9648
250,0.0047,0.9582
300,0.0042,0.9632
350,0.0042,0.9658
400,0.0041,0.9658
450,0.0041,0.9636
500,0.0042,0.959
550,0.0041,0.9648
600,0.004,0.963
50,0.0042,0.9648
100,0.004,0.967
150,0.0041,0.9622
200,0.004,0.9636
250,0.0036,0.9706
300,0.0038,0.9684
350,0.0038,0.9666
400,0.0039,0.9662
450,0.0036,0.9698
500,0.0037,0.9654
550,0.0035,0.9704
600,0.0036,0.9692
50,0.0037,0.9668
100,0.0038,0.9664
150,0.0035,0.972
200,0.0036,0.9702
250,0.0035,0.9724
300,0.0034,0.9726
350,0.0032,0.9754
400,0.0032,0.9712
450,0.0034,0.9684
500,0.0031,0.9764
550,0.0032,0.9716
600,0.0033,0.973
50,0.0032,0.9742
100,0.0033,0.972
150,0.0031,0.9742
200,0.0035,0.9696
250,0.0032,0.971
300,0.003,0.9752
350,0.0031,0.9742
400,0.0028,0.9796
450,0.0032,0.971
500,0.003,0.975
550,0.0029,0.9786
600,0.003,0.976
50,0.003,0.9744
100,0.0028,0.9784
150,0.0028,0.9782
200,0.0028,0.9788
250,0.003,0.9744
300,0.0029,0.976
350,0.0028,0.9778
400,0.0028,0.977
450,0.0029,0.9758
500,0.0028,0.9754
550,0.0028,0.9766
600,0.0028,0.98
50,0.0028,0.9744
100,0.0028,0.9786
150,0.0026,0.9812
200,0.0028,0.9786
250,0.0026,0.9792
300,0.0025,0.9808
350,0.0027,0.9802
400,0.0026,0.9792
450,0.0025,0.982
500,0.0027,0.9774
550,0.0027,0.9792
600,0.0026,0.9804
50,0.0026,0.9818
100,0.0024,0.9814
150,0.0024,0.9804
