type,middle_layers,learning_rate,weight_decay,momentum
Relu,400,0.015,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0496,0.123
100,0.0423,0.3194
150,0.0355,0.5378
200,0.0303,0.6654
250,0.0288,0.6984
300,0.0263,0.7564
350,0.025,0.7842
400,0.0251,0.7828
450,0.0237,0.8062
500,0.0234,0.8136
550,0.0234,0.8146
600,0.0233,0.8222
50,0.0226,0.8248
100,0.0227,0.8274
150,0.0221,0.8298
200,0.0225,0.8298
250,0.0217,0.836
300,0.0221,0.8414
350,0.0217,0.8422
400,0.0221,0.8396
450,0.0218,0.8322
500,0.022,0.8282
550,0.0209,0.8494
600,0.0214,0.842
50,0.0212,0.8398
100,0.0218,0.8338
150,0.0207,0.8478
200,0.0211,0.8488
250,0.0206,0.85
300,0.0212,0.8416
350,0.0208,0.847
400,0.0205,0.8516
450,0.0205,0.8508
500,0.0202,0.8542
550,0.0201,0.8532
600,0.02,0.8564
50,0.0202,0.8506
100,0.0199,0.8546
150,0.0202,0.8496
200,0.0198,0.8606
250,0.0194,0.8598
300,0.0196,0.8562
350,0.0195,0.8576
400,0.0197,0.8574
450,0.0195,0.8552
500,0.0187,0.8586
550,0.0188,0.8634
600,0.0182,0.8702
50,0.018,0.8692
100,0.0185,0.864
150,0.018,0.868
200,0.0177,0.8656
250,0.0176,0.8778
300,0.0176,0.87
350,0.0176,0.8672
400,0.0169,0.8704
450,0.017,0.8724
500,0.0164,0.8792
550,0.0164,0.8802
600,0.0161,0.8776
50,0.0159,0.879
100,0.0164,0.872
150,0.0155,0.889
200,0.0153,0.8894
250,0.0154,0.8794
300,0.0152,0.8852
350,0.0149,0.888
400,0.0148,0.8878
450,0.0143,0.8972
500,0.0143,0.8928
550,0.0144,0.889
600,0.0138,0.8966
50,0.0138,0.892
100,0.0132,0.9038
150,0.0135,0.895
200,0.0133,0.8964
250,0.0137,0.8958
300,0.0135,0.8924
350,0.0131,0.9034
400,0.0129,0.8996
450,0.0124,0.9074
500,0.0127,0.8992
550,0.0129,0.8962
600,0.0129,0.8958
50,0.0122,0.9034
100,0.0124,0.8982
150,0.0121,0.905
200,0.0119,0.9086
250,0.0122,0.8992
300,0.0119,0.9036
350,0.0118,0.9056
400,0.0121,0.9002
450,0.0116,0.9098
500,0.0119,0.899
550,0.0112,0.9116
600,0.0118,0.9062
50,0.0114,0.9048
100,0.0113,0.9092
150,0.0115,0.9074
200,0.011,0.916
250,0.0113,0.906
300,0.0111,0.9088
350,0.0111,0.9078
400,0.0108,0.9114
450,0.0109,0.9114
500,0.0107,0.914
550,0.0105,0.9126
600,0.0108,0.9118
50,0.011,0.9068
100,0.0107,0.9106
150,0.0105,0.913
200,0.0104,0.9156
250,0.0104,0.9154
300,0.0104,0.9178
350,0.0106,0.9116
400,0.0104,0.9164
450,0.0104,0.9102
500,0.0099,0.9174
550,0.0099,0.921
600,0.0102,0.9142
50,0.01,0.9152
100,0.0101,0.9144
150,0.0098,0.921
200,0.0099,0.9208
250,0.0098,0.9206
300,0.0097,0.919
350,0.0095,0.9276
400,0.01,0.9118
450,0.0098,0.9174
500,0.0097,0.9214
550,0.0098,0.9122
600,0.0099,0.9156
50,0.0094,0.9202
100,0.0095,0.92
150,0.0096,0.9168
200,0.0094,0.9206
250,0.0092,0.9212
300,0.0091,0.9264
350,0.0096,0.9154
400,0.0093,0.9206
450,0.0092,0.9224
500,0.0093,0.9208
550,0.0094,0.92
600,0.0092,0.925
50,0.0094,0.9206
100,0.0089,0.9234
150,0.0091,0.9264
200,0.009,0.9224
250,0.0087,0.9252
300,0.0089,0.9264
350,0.0091,0.9182
400,0.0089,0.9286
450,0.0089,0.923
500,0.0091,0.9198
550,0.0088,0.9232
600,0.009,0.9216
50,0.0086,0.9282
100,0.0089,0.919
150,0.0087,0.9258
200,0.0086,0.93
250,0.0088,0.9236
300,0.0088,0.9228
350,0.0086,0.9266
400,0.0088,0.925
450,0.0084,0.9296
500,0.0085,0.9278
550,0.0088,0.9196
600,0.0085,0.9288
50,0.0087,0.9228
100,0.0085,0.9264
150,0.0082,0.9316
200,0.0078,0.9384
250,0.0085,0.9312
300,0.0088,0.9202
350,0.0085,0.9264
400,0.0087,0.919
450,0.0086,0.9254
500,0.008,0.9308
550,0.0084,0.9236
600,0.0081,0.9312
50,0.0083,0.9312
100,0.0081,0.9292
150,0.0083,0.9256
200,0.0083,0.928
250,0.0084,0.928
300,0.0082,0.9296
350,0.008,0.9296
400,0.0084,0.926
450,0.0081,0.9304
500,0.008,0.9306
550,0.008,0.9298
600,0.0083,0.9242
50,0.0081,0.9284
100,0.008,0.932
150,0.0079,0.9296
200,0.0077,0.9354
250,0.0082,0.9266
300,0.0081,0.9304
350,0.008,0.9272
400,0.0081,0.931
450,0.0077,0.9356
500,0.008,0.9292
550,0.008,0.9308
600,0.008,0.9278
50,0.0077,0.9324
100,0.0076,0.9344
150,0.0076,0.9374
200,0.0077,0.936
250,0.0079,0.9328
300,0.0081,0.9284
350,0.008,0.928
400,0.0078,0.9352
450,0.0079,0.9308
500,0.0077,0.9314
550,0.008,0.9254
600,0.0077,0.9346
50,0.008,0.9256
100,0.0074,0.9374
150,0.0075,0.936
200,0.0077,0.9306
250,0.0075,0.9386
300,0.0078,0.9334
350,0.0078,0.9316
400,0.0078,0.9318
450,0.0076,0.932
500,0.0076,0.935
550,0.0075,0.9352
600,0.0077,0.9346
50,0.0075,0.9378
100,0.0075,0.9332
150,0.0075,0.9324
200,0.0073,0.9386
250,0.0074,0.9354
300,0.0077,0.9326
350,0.0075,0.9362
400,0.0077,0.9372
450,0.0076,0.932
500,0.0074,0.9332
550,0.0075,0.9342
600,0.0078,0.9306
50,0.0077,0.9302
100,0.0072,0.9432
150,0.0076,0.9362
200,0.0073,0.934
250,0.0076,0.9334
300,0.0075,0.936
350,0.0076,0.9264
400,0.0071,0.9426
450,0.0071,0.939
500,0.0077,0.9338
550,0.0072,0.9358
600,0.0073,0.9334
50,0.0073,0.9394
100,0.0074,0.9322
150,0.0076,0.936
200,0.0072,0.9372
250,0.0076,0.9328
300,0.0074,0.9338
350,0.0071,0.9402
400,0.0074,0.9356
450,0.0073,0.934
500,0.007,0.942
550,0.007,0.9422
600,0.0071,0.939
50,0.0074,0.9354
100,0.0069,0.9414
150,0.0074,0.934
200,0.0072,0.938
250,0.0072,0.9408
300,0.0072,0.9394
350,0.0069,0.9424
400,0.0072,0.9358
450,0.007,0.94
500,0.0072,0.938
550,0.0072,0.9362
600,0.0072,0.9378
50,0.0073,0.9376
100,0.0072,0.9352
150,0.0069,0.9448
200,0.007,0.9394
250,0.007,0.942
300,0.0071,0.9398
350,0.007,0.9416
400,0.0069,0.9454
450,0.007,0.9396
500,0.0072,0.9344
550,0.0069,0.9414
600,0.0073,0.9334
50,0.007,0.941
100,0.0071,0.9382
150,0.0072,0.9358
200,0.007,0.9388
250,0.0065,0.9466
300,0.0072,0.938
350,0.0074,0.9366
400,0.0067,0.944
450,0.0072,0.9374
500,0.0066,0.947
550,0.0072,0.9358
600,0.0069,0.9418
50,0.0071,0.9422
100,0.007,0.9416
150,0.0069,0.9414
200,0.0069,0.94
250,0.0071,0.9368
300,0.0068,0.9446
350,0.0069,0.942
400,0.0067,0.9476
450,0.0068,0.9378
500,0.0071,0.9368
550,0.0065,0.9476
600,0.0068,0.943
50,0.0069,0.9438
100,0.0069,0.943
150,0.0069,0.9424
200,0.0066,0.9468
250,0.0066,0.944
300,0.0068,0.943
350,0.0068,0.9412
400,0.0069,0.9396
450,0.007,0.9394
500,0.0067,0.943
550,0.0067,0.9476
600,0.007,0.9366
50,0.007,0.94
100,0.007,0.9384
150,0.0067,0.9458
200,0.0067,0.9448
250,0.0069,0.9374
300,0.0064,0.9502
350,0.0068,0.9416
400,0.0066,0.9484
450,0.0067,0.9426
500,0.0065,0.9462
550,0.0069,0.9434
600,0.0067,0.9432
50,0.0068,0.9454
100,0.0064,0.9476
150,0.0069,0.939
200,0.0069,0.941
250,0.0069,0.9362
300,0.0064,0.9498
350,0.0067,0.9444
400,0.0065,0.9446
450,0.0065,0.9498
500,0.0068,0.9398
550,0.0064,0.9504
600,0.0068,0.9432
50,0.0066,0.947
100,0.0066,0.9474
150,0.0066,0.9474
200,0.0066,0.9436
250,0.0067,0.9442
300,0.0064,0.948
350,0.0064,0.9474
400,0.0069,0.9392
450,0.0063,0.9512
500,0.0067,0.9414
550,0.0066,0.9446
600,0.0067,0.9436
50,0.0067,0.9434
100,0.0066,0.9448
150,0.0066,0.9464
200,0.0063,0.949
250,0.0064,0.9502
300,0.0066,0.942
350,0.0067,0.943
400,0.0067,0.9428
450,0.0065,0.9484
500,0.0062,0.9494
550,0.0065,0.946
600,0.0063,0.9482
50,0.0064,0.9486
100,0.0062,0.9512
150,0.0067,0.9426
200,0.0063,0.9498
250,0.0066,0.9438
300,0.0065,0.948
350,0.0064,0.947
400,0.0066,0.9448
450,0.0064,0.9476
500,0.0065,0.9434
550,0.0067,0.9448
600,0.0063,0.9518
50,0.0066,0.9442
100,0.0062,0.9518
150,0.0064,0.9468
200,0.0065,0.9472
250,0.0064,0.9446
300,0.006,0.952
350,0.0068,0.9414
400,0.0064,0.9494
450,0.0065,0.9476
500,0.0064,0.9462
550,0.0065,0.9486
600,0.0063,0.9484
50,0.0063,0.9504
100,0.0062,0.9462
150,0.0063,0.9502
200,0.0063,0.949
250,0.0064,0.9476
300,0.0066,0.9452
350,0.0067,0.944
400,0.0062,0.9486
450,0.0064,0.9488
500,0.0059,0.956
550,0.0062,0.9528
600,0.0067,0.941
50,0.0063,0.9484
100,0.0062,0.9498
150,0.0064,0.948
200,0.0062,0.9514
250,0.0065,0.9448
300,0.0063,0.946
350,0.0062,0.952
400,0.0062,0.951
450,0.0061,0.9478
500,0.0065,0.945
550,0.0062,0.9492
600,0.0064,0.9476
50,0.0063,0.9492
100,0.0062,0.9532
150,0.0062,0.9474
200,0.0061,0.9526
250,0.0063,0.9444
300,0.0062,0.9516
350,0.0063,0.9502
400,0.0062,0.952
450,0.0063,0.949
500,0.0062,0.9506
550,0.006,0.9534
600,0.0063,0.9458
50,0.0061,0.9526
100,0.0062,0.9494
150,0.0065,0.9458
200,0.0063,0.9484
250,0.0063,0.9484
300,0.0062,0.9506
350,0.0062,0.9486
400,0.006,0.9528
450,0.0059,0.9522
500,0.0063,0.947
550,0.0061,0.9512
600,0.0062,0.9494
50,0.0062,0.9494
100,0.0059,0.9568
150,0.0059,0.9564
200,0.0062,0.9484
250,0.0063,0.9462
300,0.0063,0.9472
350,0.0059,0.9554
400,0.0059,0.9518
450,0.0064,0.95
500,0.006,0.9544
550,0.0066,0.9412
600,0.0062,0.952
50,0.006,0.9542
100,0.006,0.9534
150,0.006,0.9522
200,0.0058,0.9574
250,0.0064,0.9422
300,0.0065,0.9422
350,0.0058,0.9576
400,0.0061,0.9514
450,0.006,0.9538
500,0.0062,0.9488
550,0.0058,0.956
600,0.0065,0.9458
50,0.006,0.9524
100,0.006,0.9518
150,0.0057,0.9584
200,0.0062,0.9486
250,0.0059,0.9548
300,0.0059,0.956
350,0.0063,0.9482
400,0.0058,0.957
450,0.0063,0.946
500,0.0062,0.9496
550,0.0061,0.9482
600,0.0062,0.9476
50,0.0056,0.957
100,0.0063,0.9494
150,0.006,0.9524
200,0.0059,0.9532
250,0.006,0.9516
300,0.0057,0.9564
350,0.006,0.9528
400,0.006,0.955
450,0.0061,0.9554
500,0.0063,0.9428
550,0.006,0.9546
600,0.0061,0.9494
50,0.0058,0.9522
100,0.0063,0.9462
150,0.0059,0.9534
200,0.0058,0.9532
250,0.006,0.9508
300,0.0058,0.9576
350,0.0056,0.9586
400,0.0061,0.9514
450,0.0062,0.9518
500,0.0058,0.9554
550,0.006,0.9498
600,0.0064,0.947
50,0.0059,0.9542
100,0.0061,0.9514
150,0.0058,0.9534
200,0.0059,0.9522
250,0.0058,0.9538
300,0.006,0.9528
350,0.0062,0.9538
400,0.0061,0.9494
450,0.0059,0.9562
500,0.0057,0.954
550,0.0058,0.955
600,0.0061,0.9478
50,0.0062,0.95
100,0.0056,0.957
150,0.0058,0.9516
200,0.006,0.9532
250,0.0057,0.9544
300,0.006,0.9498
350,0.0058,0.954
400,0.0061,0.95
450,0.0057,0.9578
500,0.0063,0.9506
550,0.006,0.9548
