type,middle_layers,learning_rate,weight_decay,momentum
Relu,400,0.008,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0467,0.1288
100,0.0436,0.2376
150,0.0409,0.3392
200,0.0365,0.535
250,0.0331,0.6132
300,0.0311,0.6704
350,0.0289,0.7076
400,0.0279,0.7204
450,0.0268,0.7486
500,0.0257,0.7626
550,0.0254,0.7718
600,0.0249,0.7818
50,0.0242,0.7896
100,0.0242,0.795
150,0.0241,0.7944
200,0.0241,0.7942
250,0.0231,0.8184
300,0.0233,0.8122
350,0.0229,0.8222
400,0.0223,0.8312
450,0.0222,0.8302
500,0.0226,0.8288
550,0.0225,0.823
600,0.0223,0.8372
50,0.022,0.838
100,0.0216,0.8444
150,0.0223,0.8302
200,0.022,0.8278
250,0.022,0.834
300,0.0219,0.8364
350,0.0225,0.8318
400,0.0218,0.8384
450,0.0213,0.842
500,0.0212,0.8426
550,0.0212,0.8438
600,0.0216,0.8388
50,0.0215,0.8404
100,0.0214,0.843
150,0.0216,0.8392
200,0.0211,0.851
250,0.0212,0.8472
300,0.0207,0.8558
350,0.021,0.8476
400,0.0212,0.8394
450,0.0207,0.853
500,0.0215,0.836
550,0.0211,0.8438
600,0.0212,0.843
50,0.0209,0.8526
100,0.0206,0.8526
150,0.0203,0.853
200,0.0211,0.8438
250,0.021,0.8502
300,0.0212,0.8414
350,0.0204,0.852
400,0.0209,0.852
450,0.0206,0.842
500,0.021,0.8424
550,0.0208,0.8438
600,0.0207,0.8504
50,0.0208,0.8506
100,0.021,0.8412
150,0.0206,0.8526
200,0.0204,0.8528
250,0.0201,0.858
300,0.0206,0.8474
350,0.0207,0.8458
400,0.0203,0.8562
450,0.0201,0.857
500,0.0203,0.8514
550,0.0205,0.8458
600,0.0204,0.8504
50,0.0199,0.86
100,0.0204,0.8486
150,0.0198,0.8612
200,0.0203,0.8508
250,0.0202,0.846
300,0.0196,0.8624
350,0.02,0.8504
400,0.0201,0.85
450,0.0202,0.853
500,0.0198,0.8494
550,0.0198,0.8602
600,0.0199,0.8534
50,0.0197,0.8594
100,0.0201,0.8478
150,0.0196,0.8564
200,0.0198,0.8498
250,0.0193,0.8618
300,0.0195,0.864
350,0.0195,0.8532
400,0.0193,0.8578
450,0.0198,0.8508
500,0.0192,0.856
550,0.0188,0.8688
600,0.0194,0.8574
50,0.0185,0.8742
100,0.0188,0.8688
150,0.0186,0.8682
200,0.019,0.8552
250,0.0189,0.8496
300,0.019,0.8634
350,0.0189,0.8622
400,0.0182,0.8734
450,0.0183,0.862
500,0.0184,0.864
550,0.0184,0.8636
600,0.0182,0.8662
50,0.0182,0.869
100,0.0181,0.868
150,0.0175,0.8726
200,0.0179,0.859
250,0.0177,0.8676
300,0.0171,0.8792
350,0.0171,0.8772
400,0.0177,0.8678
450,0.0177,0.8652
500,0.0172,0.8688
550,0.0168,0.8764
600,0.0171,0.8704
50,0.0168,0.8734
100,0.0167,0.8812
150,0.0167,0.8718
200,0.0161,0.8874
250,0.0162,0.8808
300,0.0164,0.874
350,0.0161,0.8792
400,0.0162,0.8796
450,0.016,0.8792
500,0.0159,0.882
550,0.016,0.8826
600,0.0158,0.8822
50,0.0156,0.886
100,0.0156,0.8846
150,0.0152,0.8842
