type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.02,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0503,0.1054
100,0.0492,0.0986
150,0.0486,0.1036
200,0.0471,0.1074
250,0.0463,0.0984
300,0.0461,0.1058
350,0.046,0.096
400,0.046,0.1044
450,0.0457,0.1018
500,0.0459,0.1078
550,0.0458,0.1014
600,0.0455,0.1068
50,0.0454,0.116
100,0.0451,0.1156
150,0.0453,0.124
200,0.0448,0.138
250,0.0448,0.1424
300,0.0445,0.1706
350,0.0441,0.1932
400,0.0434,0.2884
450,0.0429,0.2732
500,0.0418,0.279
550,0.0409,0.3096
600,0.0398,0.3254
50,0.0391,0.338
100,0.0382,0.3434
150,0.0382,0.362
200,0.0375,0.3604
250,0.037,0.3788
300,0.0368,0.4016
350,0.0363,0.4508
400,0.0352,0.5014
450,0.0347,0.51
500,0.0345,0.5092
550,0.0342,0.5208
600,0.0339,0.5234
50,0.0335,0.5232
100,0.0331,0.5548
150,0.0328,0.5438
200,0.0326,0.5636
250,0.0318,0.5812
300,0.0313,0.599
350,0.031,0.601
400,0.0308,0.5988
450,0.0299,0.6352
500,0.0297,0.6306
550,0.0291,0.652
600,0.0289,0.6518
50,0.0287,0.654
100,0.0283,0.6788
150,0.0278,0.6838
200,0.0275,0.7124
250,0.0275,0.701
300,0.0268,0.7194
350,0.0271,0.7164
400,0.0267,0.7198
450,0.0264,0.727
500,0.0261,0.7272
550,0.0257,0.7336
600,0.0256,0.7328
50,0.0259,0.7398
100,0.0255,0.7462
150,0.025,0.7444
200,0.025,0.7416
250,0.0251,0.7432
300,0.0245,0.744
350,0.0246,0.744
400,0.0239,0.753
450,0.0237,0.7548
500,0.0234,0.7532
550,0.0231,0.7474
600,0.023,0.7524
50,0.023,0.756
100,0.0228,0.7584
150,0.0228,0.7546
200,0.0224,0.7524
250,0.0223,0.754
300,0.0223,0.7558
350,0.0222,0.7532
400,0.0221,0.7556
450,0.0216,0.755
500,0.0214,0.7614
550,0.0211,0.7626
600,0.0213,0.762
50,0.0211,0.7738
100,0.0206,0.7698
150,0.0205,0.7712
200,0.0206,0.7706
250,0.0202,0.7768
300,0.0199,0.7798
350,0.0195,0.784
400,0.02,0.7736
450,0.0198,0.7882
500,0.0195,0.786
550,0.0191,0.8008
600,0.0189,0.8052
50,0.0186,0.8046
100,0.0182,0.8058
150,0.0185,0.809
200,0.0184,0.8018
250,0.0182,0.8084
300,0.0178,0.8162
350,0.0176,0.8172
400,0.0174,0.8238
450,0.0175,0.833
500,0.0178,0.834
550,0.0172,0.8406
600,0.0169,0.8412
50,0.0171,0.8366
100,0.017,0.841
150,0.0165,0.8502
200,0.0165,0.8504
250,0.0161,0.8588
300,0.0155,0.8646
